"행정구역","2019년02월_남_총인구수","2019년02월_남_연령구간인구수","2019년02월_남_0세","2019년02월_남_1세","2019년02월_남_2세","2019년02월_남_3세","2019년02월_남_4세","2019년02월_남_5세","2019년02월_남_6세","2019년02월_남_7세","2019년02월_남_8세","2019년02월_남_9세","2019년02월_남_10세","2019년02월_남_11세","2019년02월_남_12세","2019년02월_남_13세","2019년02월_남_14세","2019년02월_남_15세","2019년02월_남_16세","2019년02월_남_17세","2019년02월_남_18세","2019년02월_남_19세","2019년02월_남_20세","2019년02월_남_21세","2019년02월_남_22세","2019년02월_남_23세","2019년02월_남_24세","2019년02월_남_25세","2019년02월_남_26세","2019년02월_남_27세","2019년02월_남_28세","2019년02월_남_29세","2019년02월_남_30세","2019년02월_남_31세","2019년02월_남_32세","2019년02월_남_33세","2019년02월_남_34세","2019년02월_남_35세","2019년02월_남_36세","2019년02월_남_37세","2019년02월_남_38세","2019년02월_남_39세","2019년02월_남_40세","2019년02월_남_41세","2019년02월_남_42세","2019년02월_남_43세","2019년02월_남_44세","2019년02월_남_45세","2019년02월_남_46세","2019년02월_남_47세","2019년02월_남_48세","2019년02월_남_49세","2019년02월_남_50세","2019년02월_남_51세","2019년02월_남_52세","2019년02월_남_53세","2019년02월_남_54세","2019년02월_남_55세","2019년02월_남_56세","2019년02월_남_57세","2019년02월_남_58세","2019년02월_남_59세","2019년02월_남_60세","2019년02월_남_61세","2019년02월_남_62세","2019년02월_남_63세","2019년02월_남_64세","2019년02월_남_65세","2019년02월_남_66세","2019년02월_남_67세","2019년02월_남_68세","2019년02월_남_69세","2019년02월_남_70세","2019년02월_남_71세","2019년02월_남_72세","2019년02월_남_73세","2019년02월_남_74세","2019년02월_남_75세","2019년02월_남_76세","2019년02월_남_77세","2019년02월_남_78세","2019년02월_남_79세","2019년02월_남_80세","2019년02월_남_81세","2019년02월_남_82세","2019년02월_남_83세","2019년02월_남_84세","2019년02월_남_85세","2019년02월_남_86세","2019년02월_남_87세","2019년02월_남_88세","2019년02월_남_89세","2019년02월_남_90세","2019년02월_남_91세","2019년02월_남_92세","2019년02월_남_93세","2019년02월_남_94세","2019년02월_남_95세","2019년02월_남_96세","2019년02월_남_97세","2019년02월_남_98세","2019년02월_남_99세","2019년02월_남_100세 이상","2019년02월_여_총인구수","2019년02월_여_연령구간인구수","2019년02월_여_0세","2019년02월_여_1세","2019년02월_여_2세","2019년02월_여_3세","2019년02월_여_4세","2019년02월_여_5세","2019년02월_여_6세","2019년02월_여_7세","2019년02월_여_8세","2019년02월_여_9세","2019년02월_여_10세","2019년02월_여_11세","2019년02월_여_12세","2019년02월_여_13세","2019년02월_여_14세","2019년02월_여_15세","2019년02월_여_16세","2019년02월_여_17세","2019년02월_여_18세","2019년02월_여_19세","2019년02월_여_20세","2019년02월_여_21세","2019년02월_여_22세","2019년02월_여_23세","2019년02월_여_24세","2019년02월_여_25세","2019년02월_여_26세","2019년02월_여_27세","2019년02월_여_28세","2019년02월_여_29세","2019년02월_여_30세","2019년02월_여_31세","2019년02월_여_32세","2019년02월_여_33세","2019년02월_여_34세","2019년02월_여_35세","2019년02월_여_36세","2019년02월_여_37세","2019년02월_여_38세","2019년02월_여_39세","2019년02월_여_40세","2019년02월_여_41세","2019년02월_여_42세","2019년02월_여_43세","2019년02월_여_44세","2019년02월_여_45세","2019년02월_여_46세","2019년02월_여_47세","2019년02월_여_48세","2019년02월_여_49세","2019년02월_여_50세","2019년02월_여_51세","2019년02월_여_52세","2019년02월_여_53세","2019년02월_여_54세","2019년02월_여_55세","2019년02월_여_56세","2019년02월_여_57세","2019년02월_여_58세","2019년02월_여_59세","2019년02월_여_60세","2019년02월_여_61세","2019년02월_여_62세","2019년02월_여_63세","2019년02월_여_64세","2019년02월_여_65세","2019년02월_여_66세","2019년02월_여_67세","2019년02월_여_68세","2019년02월_여_69세","2019년02월_여_70세","2019년02월_여_71세","2019년02월_여_72세","2019년02월_여_73세","2019년02월_여_74세","2019년02월_여_75세","2019년02월_여_76세","2019년02월_여_77세","2019년02월_여_78세","2019년02월_여_79세","2019년02월_여_80세","2019년02월_여_81세","2019년02월_여_82세","2019년02월_여_83세","2019년02월_여_84세","2019년02월_여_85세","2019년02월_여_86세","2019년02월_여_87세","2019년02월_여_88세","2019년02월_여_89세","2019년02월_여_90세","2019년02월_여_91세","2019년02월_여_92세","2019년02월_여_93세","2019년02월_여_94세","2019년02월_여_95세","2019년02월_여_96세","2019년02월_여_97세","2019년02월_여_98세","2019년02월_여_99세","2019년02월_여_100세 이상"
"서울특별시  (1100000000)","4,773,605","4,773,605","27,977","30,473","33,735","36,145","35,828","35,485","38,974","37,925","38,807","35,929","38,053","41,394","38,588","37,047","40,363","42,612","42,298","46,651","55,182","55,520","56,854","59,790","63,131","68,667","73,826","77,022","82,134","82,034","75,863","75,597","74,771","71,690","71,656","72,626","71,472","79,835","82,472","84,503","81,726","80,764","70,369","71,587","71,936","72,378","78,761","81,076","83,793","88,153","86,966","83,872","82,717","75,035","74,149","73,792","74,823","70,127","75,290","77,398","79,867","75,019","69,997","68,557","62,715","63,794","58,664","48,620","52,010","39,029","40,445","40,887","40,127","39,449","36,468","27,929","29,156","26,746","33,542","27,660","22,123","20,718","18,029","15,403","13,118","11,356","9,201","7,156","6,000","4,509","3,517","3,110","2,404","1,805","1,320","900","740","744","596","427","352","258","1,497","4,997,033","4,997,033","25,761","29,126","32,080","34,581","34,209","33,515","37,403","35,820","36,832","34,260","36,164","38,879","36,186","34,482","37,966","39,949","39,785","43,765","52,072","54,032","57,461","62,683","66,366","73,006","76,799","79,236","83,528","83,737","76,913","75,409","75,406","72,813","72,644","72,634","71,172","77,789","82,462","83,656","81,117","81,250","71,169","73,673","72,390","73,767","79,268","84,257","84,598","88,273","88,491","85,428","85,245","79,414","73,329","75,989","77,093","71,794","77,397","81,786","87,309","82,330","75,522","74,310","69,637","71,814","65,197","54,719","58,192","44,033","45,178","47,246","45,856","46,559","43,092","32,723","34,262","32,655","38,501","33,319","27,438","26,714","24,416","21,890","20,135","18,349","16,049","13,347","11,751","9,997","8,583","7,619","6,519","5,394","4,054","3,072","2,187","2,069","1,664","1,138","828","622","4,435"
"서울특별시 종로구 (1111000000)","74,662","74,662","318","334","395","434","435","426","501","467","510","481","490","615","543","515","560","612","592","680","765","844","866","974","1,100","1,237","1,205","1,319","1,362","1,387","1,215","1,183","1,128","1,077","990","978","947","1,107","1,017","1,084","1,054","1,079","893","909","999","996","1,096","1,196","1,258","1,466","1,397","1,343","1,329","1,241","1,215","1,271","1,325","1,221","1,358","1,370","1,340","1,255","1,251","1,168","1,085","1,086","1,003","829","890","658","636","646","652","696","621","462","531","497","674","525","479","453","381","313","312","257","223","176","158","114","95","75","64","49","46","41","24","28","32","22","16","15","75","78,218","78,218","275","349","380","440","417","437","522","437","502","442","514","536","541","490","539","568","579","658","763","923","1,033","1,148","1,093","1,217","1,233","1,253","1,320","1,211","1,231","1,051","1,078","1,084","1,070","971","941","1,042","1,099","1,135","1,149","1,098","977","1,046","1,038","1,055","1,229","1,319","1,319","1,384","1,443","1,398","1,361","1,310","1,239","1,268","1,261","1,209","1,216","1,287","1,441","1,256","1,123","1,099","1,119","1,099","1,011","836","906","704","751","808","780","816","748","637","684","647","750","720","565","612","513","450","413","369","349","286","237","222","187","161","135","114","86","71","55","41","49","31","24","24","161"
"서울특별시 중구 (1114000000)","62,048","62,048","326","388","413","417","397","398","402","376","360","331","337","363","322","279","338","336","383","423","566","554","605","650","718","825","972","988","1,097","1,071","989","1,000","1,056","987","1,008","990","982","1,111","1,058","1,136","1,070","1,032","903","941","874","866","956","953","968","1,107","1,044","1,096","1,101","1,089","1,009","965","1,013","1,010","1,133","1,114","1,201","1,119","1,032","1,027","970","958","923","724","737","577","605","613","579","583","467","423","428","429","521","437","332","337","298","214","245","180","149","118","103","86","75","73","57","48","34","19","12","19","13","12","7","12","56","63,947","63,947","367","365","413","409","378","391","374","368","358","326","352","382","295","283","326","361","327","384","500","579","681","791","849","865","956","1,008","1,139","1,089","994","1,003","1,031","1,006","1,007","1,006","991","1,070","1,092","1,077","1,014","1,012","799","851","851","805","898","900","992","1,053","1,073","995","1,065","996","888","975","1,071","954","1,026","1,127","1,158","1,019","1,050","1,003","942","976","860","732","824","607","620","664","617","681","636","522","526","517","621","591","432","461","418","364","337","343","280","274","208","189","146","160","110","103","67","49","45","39","38","19","23","13","125"
"서울특별시 용산구 (1117000000)","110,682","110,682","650","685","746","812","795","732","827","768","781","712","722","784","753","722","843","787","876","976","1,116","1,119","1,225","1,239","1,275","1,372","1,550","1,565","1,836","1,947","1,903","1,895","1,909","1,848","1,755","1,869","1,815","1,966","2,049","2,024","2,025","1,849","1,564","1,638","1,554","1,673","1,808","1,898","1,976","2,090","2,008","1,998","1,963","1,741","1,732","1,783","1,776","1,676","1,750","1,869","1,866","1,748","1,648","1,677","1,505","1,511","1,391","1,133","1,096","851","943","926","970","854","791","665","660","668","857","746","591","522","511","484","386","346","295","242","197","194","132","129","80","72","41","48","48","42","40","24","25","16","92","118,597","118,597","599","648","705","721","723","710","779","700","720","715","746","815","711","674","776","754","812","878","1,034","1,186","1,227","1,334","1,414","1,642","1,759","1,760","1,950","2,006","1,831","1,915","1,909","1,893","1,802","1,834","1,792","1,936","2,083","1,978","2,031","1,879","1,697","1,692","1,694","1,711","1,828","1,899","1,965","2,140","2,130","2,086","1,989","1,896","1,687","1,734","1,804","1,743","1,806","1,888","2,004","1,894","1,726","1,713","1,620","1,658","1,498","1,268","1,335","1,047","1,083","1,116","1,111","1,168","1,069","836","925","888","1,089","983","794","831","766","751","680","596","500","417","373","329","276","256","230","184","135","109","82","79","71","44","21","26","246"
"서울특별시 성동구 (1120000000)","150,682","150,682","1,096","1,210","1,273","1,241","1,239","1,180","1,168","1,128","1,064","970","1,020","1,135","945","989","1,024","963","1,024","1,181","1,516","1,663","1,709","1,824","2,069","2,302","2,385","2,642","2,718","2,695","2,445","2,339","2,394","2,306","2,390","2,536","2,500","2,760","2,880","2,952","2,821","2,664","2,324","2,331","2,387","2,215","2,397","2,555","2,523","2,668","2,698","2,581","2,655","2,371","2,304","2,445","2,437","2,348","2,429","2,587","2,745","2,442","2,355","2,200","1,955","1,956","1,808","1,453","1,507","1,120","1,161","1,248","1,089","1,161","1,060","791","889","819","1,033","848","648","643","543","473","416","333","304","232","172","128","95","96","73","42","52","23","18","28","15","14","12","5","62","156,382","156,382","1,073","1,108","1,254","1,222","1,202","1,139","1,137","1,045","1,033","929","1,023","1,086","912","905","977","1,068","1,127","1,189","1,435","1,718","1,742","2,064","2,181","2,299","2,540","2,517","2,596","2,572","2,509","2,554","2,567","2,566","2,522","2,608","2,549","2,766","2,789","2,889","2,651","2,693","2,243","2,248","2,200","2,194","2,366","2,512","2,460","2,648","2,728","2,658","2,636","2,509","2,266","2,456","2,448","2,237","2,452","2,522","2,613","2,483","2,219","2,223","2,109","2,062","1,935","1,585","1,594","1,302","1,365","1,382","1,301","1,366","1,370","1,009","1,053","1,025","1,251","1,038","928","834","790","754","698","567","492","414","379","301","251","216","200","132","119","89","48","63","44","30","28","14","167"
"서울특별시 광진구 (1121500000)","172,649","172,649","1,023","1,017","1,148","1,201","1,208","1,193","1,287","1,204","1,298","1,207","1,258","1,394","1,240","1,232","1,379","1,457","1,368","1,542","1,904","1,993","2,081","2,215","2,453","2,710","2,984","3,349","3,576","3,485","3,242","3,221","3,149","2,945","2,952","2,988","2,758","3,085","3,112","3,045","2,948","2,898","2,474","2,568","2,511","2,616","2,709","2,830","2,924","3,077","3,054","2,836","3,007","2,764","2,693","2,650","2,749","2,496","2,765","2,844","2,861","2,728","2,477","2,465","2,197","2,212","1,977","1,632","1,799","1,250","1,295","1,302","1,291","1,275","1,191","918","982","859","1,077","876","735","697","622","510","398","322","295","217","184","139","109","97","77","71","41","29","24","16","15","12","13","5","41","182,738","182,738","987","986","1,105","1,148","1,103","1,091","1,256","1,176","1,204","1,088","1,149","1,365","1,267","1,159","1,318","1,328","1,378","1,407","1,859","1,955","2,291","2,552","2,811","3,182","3,475","3,542","3,766","3,677","3,308","3,450","3,287","3,176","2,988","2,953","2,767","3,052","3,179","3,118","2,916","2,883","2,522","2,589","2,554","2,532","2,808","2,970","2,959","3,177","3,194","3,124","3,106","2,964","2,823","2,819","2,695","2,584","2,804","2,994","3,136","2,967","2,773","2,522","2,406","2,429","2,163","1,773","1,988","1,455","1,427","1,419","1,534","1,518","1,340","1,052","1,055","1,096","1,185","1,086","864","823","817","683","637","608","488","445","369","306","253","232","193","171","105","84","58","58","58","45","28","19","150"
"서울특별시 동대문구 (1123000000)","173,239","173,239","960","1,061","1,184","1,251","1,225","1,160","1,273","1,189","1,198","1,160","1,154","1,301","1,144","1,106","1,181","1,243","1,232","1,411","1,787","1,892","2,024","2,200","2,494","2,720","3,186","3,136","3,342","3,099","2,748","2,796","2,595","2,476","2,550","2,453","2,534","2,837","2,928","2,954","2,918","2,852","2,570","2,528","2,504","2,551","2,733","2,772","2,947","3,072","3,010","2,883","2,898","2,723","2,822","2,694","2,751","2,499","2,711","2,905","2,980","2,813","2,695","2,609","2,394","2,487","2,300","1,948","2,006","1,490","1,597","1,571","1,488","1,561","1,429","1,166","1,167","1,126","1,448","1,153","952","918","779","670","558","496","417","295","263","197","137","117","109","71","44","42","27","36","25","22","21","18","70","174,220","174,220","821","1,007","1,092","1,176","1,148","1,117","1,211","1,138","1,157","1,094","1,140","1,201","1,097","998","1,131","1,186","1,230","1,341","1,729","2,041","2,292","2,514","2,696","2,959","2,811","2,771","2,797","2,754","2,571","2,346","2,431","2,295","2,362","2,281","2,364","2,574","2,768","2,862","2,654","2,631","2,364","2,408","2,357","2,387","2,528","2,660","2,746","2,770","2,929","2,825","2,911","2,623","2,553","2,591","2,646","2,502","2,644","2,969","3,107","3,042","2,721","2,770","2,498","2,623","2,453","1,945","2,239","1,739","1,673","1,714","1,831","1,878","1,716","1,404","1,472","1,419","1,663","1,458","1,206","1,089","1,039","918","807","713","690","561","466","373","301","284","223","212","165","92","84","74","67","37","41","26","186"
"서울특별시 중랑구 (1126000000)","199,996","199,996","1,177","1,178","1,351","1,446","1,315","1,373","1,425","1,432","1,341","1,263","1,273","1,392","1,388","1,261","1,299","1,429","1,494","1,731","2,098","2,098","2,299","2,531","2,572","2,886","3,023","3,122","3,323","3,159","2,981","2,967","3,051","2,872","3,044","2,903","2,964","3,282","3,474","3,554","3,499","3,374","2,904","2,916","2,796","2,781","2,992","3,238","3,288","3,569","3,539","3,514","3,577","3,289","3,371","3,401","3,540","3,222","3,630","3,875","3,907","3,702","3,389","3,302","3,007","3,043","2,826","2,282","2,422","1,741","1,861","1,832","1,828","1,727","1,676","1,218","1,246","1,188","1,468","1,262","955","912","779","689","571","443","386","295","232","143","127","99","67","67","49","26","28","26","17","18","9","3","42","202,620","202,620","1,065","1,223","1,232","1,325","1,266","1,329","1,344","1,300","1,328","1,254","1,306","1,314","1,242","1,147","1,341","1,410","1,431","1,585","1,914","2,062","2,036","2,366","2,536","2,819","3,000","3,102","3,316","3,293","3,027","2,946","2,973","2,818","2,878","2,869","2,748","2,929","3,178","3,166","3,126","3,094","2,552","2,576","2,501","2,652","2,848","3,097","3,193","3,333","3,495","3,501","3,678","3,594","3,357","3,448","3,580","3,297","3,661","3,942","4,095","3,870","3,420","3,315","3,170","3,240","2,990","2,440","2,598","2,010","1,951","2,059","2,035","2,062","1,925","1,438","1,541","1,444","1,748","1,501","1,181","1,168","1,064","880","832","728","689","544","465","392","360","309","276","202","151","118","92","72","64","44","28","32","134"
"서울특별시 성북구 (1129000000)","211,649","211,649","1,101","1,289","1,484","1,592","1,617","1,606","1,831","1,829","1,864","1,694","1,791","2,003","1,791","1,716","1,958","1,953","1,940","2,134","2,459","2,605","2,603","2,719","2,889","3,253","3,441","3,543","3,621","3,424","3,009","2,969","2,836","2,719","2,747","2,803","2,701","3,164","3,328","3,489","3,388","3,389","3,057","3,050","3,166","3,323","3,641","3,835","4,038","4,207","3,955","3,997","3,884","3,504","3,284","3,291","3,228","3,089","3,238","3,340","3,514","3,295","3,060","2,996","2,753","2,777","2,581","2,089","2,321","1,700","1,815","1,816","1,705","1,756","1,618","1,310","1,365","1,298","1,685","1,415","1,077","1,051","917","804","654","615","474","369","305","219","174","153","113","97","73","41","22","31","34","22","13","14","89","224,105","224,105","1,021","1,167","1,474","1,544","1,493","1,555","1,724","1,726","1,777","1,630","1,693","1,822","1,721","1,601","1,763","1,880","1,882","2,096","2,413","2,746","3,034","3,167","3,416","3,465","3,422","3,303","3,343","3,285","3,007","2,861","2,763","2,791","2,775","2,826","2,872","3,071","3,380","3,527","3,416","3,510","3,089","3,204","3,214","3,415","3,746","3,925","3,953","4,150","4,155","3,907","3,803","3,485","3,382","3,345","3,388","3,156","3,407","3,561","3,860","3,544","3,264","3,302","3,134","3,152","2,833","2,410","2,642","1,965","2,065","2,266","2,178","2,227","2,135","1,599","1,718","1,679","2,058","1,738","1,459","1,411","1,315","1,120","1,033","949","821","606","551","489","442","358","311","254","198","130","98","89","76","41","50","38","250"
"서울특별시 강북구 (1130500000)","155,596","155,596","686","804","892","913","1,011","997","1,073","1,059","1,084","1,023","1,031","1,148","1,109","1,036","1,091","1,306","1,276","1,460","1,698","1,713","1,769","1,883","2,087","2,150","2,297","2,328","2,527","2,392","2,132","2,100","2,010","2,058","1,985","2,064","2,027","2,368","2,412","2,505","2,580","2,535","2,207","2,212","2,247","2,313","2,568","2,697","2,823","2,891","2,978","2,699","2,766","2,618","2,443","2,586","2,575","2,496","2,637","2,762","2,809","2,715","2,507","2,511","2,275","2,323","2,145","1,771","1,864","1,517","1,485","1,541","1,567","1,604","1,429","1,150","1,199","1,119","1,530","1,291","1,008","858","783","673","590","499","369","293","227","169","117","100","103","71","45","33","21","30","29","13","12","11","53","162,672","162,672","577","799","874","936","897","922","990","997","1,026","943","1,071","1,062","1,005","1,011","1,082","1,179","1,134","1,345","1,573","1,711","1,900","2,106","2,139","2,283","2,359","2,382","2,473","2,382","2,052","1,969","1,931","1,813","1,826","1,822","1,884","2,055","2,290","2,267","2,175","2,335","2,014","2,114","2,069","2,252","2,467","2,717","2,564","2,883","2,805","2,881","2,917","2,765","2,500","2,645","2,686","2,473","2,720","2,923","3,249","3,000","2,803","2,653","2,510","2,694","2,445","2,081","2,250","1,810","1,877","2,007","2,020","2,006","1,890","1,462","1,544","1,515","1,825","1,572","1,221","1,185","1,062","909","816","730","603","472","433","356","310","271","235","183","112","108","83","73","52","48","28","22","175"
